Source,Target,Weight
Robert Francis Prevost OSA,Virgílio do Carmo da Silva SDB,4
Robert Francis Prevost OSA,Oscar Cantoni,3
Robert Francis Prevost OSA,Anthony Poola,4
Robert Francis Prevost OSA,Paulo Cezar Costa,4
Robert Francis Prevost OSA,William Goh,4
Robert Francis Prevost OSA,Adalberto Martínez Flores,3
Robert Francis Prevost OSA,Giorgio Marengo IMC,4
Robert Francis Prevost OSA,Pierbattista Pizzaballa OFM,5
Robert Francis Prevost OSA,Stephen Brislin,5
Robert Francis Prevost OSA,Ángel Sixto Rossi SJ,5
Robert Francis Prevost OSA,Luis José Rueda Aparicio,5
Robert Francis Prevost OSA,Grzegorz Ryś,5
Robert Francis Prevost OSA,Stephen Ameyu Martin Mulla,5
Robert Francis Prevost OSA,José Cobo Cano,5
Robert Francis Prevost OSA,Protase Rugambwa,5
Robert Francis Prevost OSA,Sebastian Francis,4
Robert Francis Prevost OSA,Stephen Chow Sau-yan SJ,5
Robert Francis Prevost OSA,François-Xavier Bustillo OFMConv,5
Robert Francis Prevost OSA,Américo Aguiar,5
Robert Francis Prevost OSA,Carlos Castillo Mattasoglio,3
Robert Francis Prevost OSA,Vicente Bokalic Iglic CM,3
Robert Francis Prevost OSA,Luis Cabrera Herrera OFM,4
Robert Francis Prevost OSA,Fernando Chomalí Garib,4
Robert Francis Prevost OSA,Tarcisio Isao Kikuchi SVD,4
Robert Francis Prevost OSA,Pablo Virgilio David,4
Robert Francis Prevost OSA,Ladislav Nemet SVD,4
Robert Francis Prevost OSA,Jaime Spengler OFM,4
Robert Francis Prevost OSA,Ignace Bessi Dogbo,4
Robert Francis Prevost OSA,Jean-Paul Vesco OP,4
Robert Francis Prevost OSA,Dominique Mathieu OFMConv,4
Robert Francis Prevost OSA,Roberto Repole,4
Robert Francis Prevost OSA,Baldassare Reina,4
Robert Francis Prevost OSA,Frank Leo,5
Robert Francis Prevost OSA,Mykola Bychok CSsR,4
Robert Francis Prevost OSA,Domenico Battaglia,4
Robert Francis Prevost OSA,Dominique Mamberti,3
Robert Francis Prevost OSA,Mario Zenari,3
Robert Francis Prevost OSA,Kevin Farrell,5
Robert Francis Prevost OSA,Konrad Krajewski,4
Robert Francis Prevost OSA,José Tolentino de Mendonça,4
Robert Francis Prevost OSA,Michael Czerny SJ,4
Robert Francis Prevost OSA,Mario Grech,4
Robert Francis Prevost OSA,Marcello Semeraro,3
Robert Francis Prevost OSA,Mauro Gambetti OFMConv,4
Robert Francis Prevost OSA,Arthur Roche,3
Robert Francis Prevost OSA,Lazarus You Heung-sik,3
Robert Francis Prevost OSA,Claudio Gugerotti,5
Robert Francis Prevost OSA,Víctor Manuel Fernández,5
Robert Francis Prevost OSA,Emil Paul Tscherrig,4
Robert Francis Prevost OSA,Christophe Pierre,4
Robert Francis Prevost OSA,Ángel Fernández Artime SDB,5
Robert Francis Prevost OSA,Rolandas Makrickas,4
Robert Francis Prevost OSA,Timothy Radcliffe OP,3
Robert Francis Prevost OSA,Fabio Baggio CS,4
Robert Francis Prevost OSA,George Koovakad,4
Louis Raphaël I Sako,Vinko Puljić,1
Louis Raphaël I Sako,Peter Turkson,1
Louis Raphaël I Sako,Josip Bozanić,1
Louis Raphaël I Sako,Philippe Barbarin,1
Louis Raphaël I Sako,Péter Erdő,1
Louis Raphaël I Sako,Stanisław Ryłko,1
Louis Raphaël I Sako,Francisco Robles Ortega,1
Louis Raphaël I Sako,Daniel DiNardo,1
Louis Raphaël I Sako,Odilo Scherer,1
Louis Raphaël I Sako,Robert Sarah,1
Louis Raphaël I Sako,Raymond Leo Burke,1
Louis Raphaël I Sako,Kurt Koch,1
Louis Raphaël I Sako,Kazimierz Nycz,1
Louis Raphaël I Sako,Malcolm Ranjith,2
Louis Raphaël I Sako,Reinhard Marx,1
Louis Raphaël I Sako,João Braz de Aviz,1
Louis Raphaël I Sako,Thomas Collins,1
Louis Raphaël I Sako,Wim Eijk,1
Louis Raphaël I Sako,Giuseppe Betori,1
Louis Raphaël I Sako,Timothy Dolan,1
Louis Raphaël I Sako,Rainer Woelki,2
Louis Raphaël I Sako,James Michael Harvey,1
Louis Raphaël I Sako,Baselios Cleemis,3
Louis Raphaël I Sako,Gerhard Ludwig Müller,2
Louis Raphaël I Sako,Vincent Nichols,2
Louis Raphaël I Sako,Leopoldo Brenes,2
Louis Raphaël I Sako,Gérald Lacroix ISPX,3
Louis Raphaël I Sako,Jean-Pierre Kutwa,2
Louis Raphaël I Sako,Orani João Tempesta OCist,2
Louis Raphaël I Sako,Mario Aurelio Poli,2
Louis Raphaël I Sako,Philippe Ouédraogo,2
Louis Raphaël I Sako,Chibly Langlois,3
Louis Raphaël I Sako,Manuel Clemente,2
Louis Raphaël I Sako,Berhaneyesus Demerew Souraphiel CM,2
Louis Raphaël I Sako,John Dew,2
Louis Raphaël I Sako,Charles Maung Bo SDB,3
Louis Raphaël I Sako,Kriengsak Kovitvanit,3
Louis Raphaël I Sako,Francesco Montenegro,2
Louis Raphaël I Sako,Daniel Sturla SDB,3
Louis Raphaël I Sako,Arlindo Gomes Furtado,2
